time, chassis::zChassis[REAL], wheel::zWheel[REAL], ground::zGround[REAL]
4.61, 1.134615, 0.633482, 0.100000
4.62, 1.134753, 0.633491, 0.100000
4.63, 1.134882, 0.633499, 0.100000
4.64, 1.135004, 0.633505, 0.100000
4.65, 1.135116, 0.633511, 0.100000
4.66, 1.135220, 0.633516, 0.100000
4.67, 1.135314, 0.633520, 0.100000
4.68, 1.135399, 0.633523, 0.100000
4.69, 1.135475, 0.633525, 0.100000
4.7, 1.135542, 0.633527, 0.100000
4.71, 1.135599, 0.633527, 0.100000
4.72, 1.135647, 0.633526, 0.100000
4.73, 1.135686, 0.633525, 0.100000
4.74, 1.135715, 0.633523, 0.100000
4.75, 1.135735, 0.633520, 0.100000
4.76, 1.135745, 0.633516, 0.100000
4.77, 1.135747, 0.633512, 0.100000
4.78, 1.135740, 0.633506, 0.100000
4.79, 1.135725, 0.633500, 0.100000
4.8, 1.135701, 0.633494, 0.100000
4.81, 1.135670, 0.633487, 0.100000
4.82, 1.135630, 0.633479, 0.100000
4.83, 1.135583, 0.633471, 0.100000
4.84, 1.135529, 0.633462, 0.100000
4.85, 1.135468, 0.633453, 0.100000
4.86, 1.135400, 0.633443, 0.100000
4.87, 1.135327, 0.633433, 0.100000
4.88, 1.135247, 0.633423, 0.100000
4.89, 1.135163, 0.633412, 0.100000
4.9, 1.135073, 0.633401, 0.100000
4.91, 1.134979, 0.633390, 0.100000
4.92, 1.134880, 0.633379, 0.100000
4.93, 1.134778, 0.633367, 0.100000
4.94, 1.134673, 0.633356, 0.100000
4.95, 1.134565, 0.633344, 0.100000
4.96, 1.134455, 0.633333, 0.100000
4.97, 1.134342, 0.633321, 0.100000
4.98, 1.134228, 0.633310, 0.100000
4.99, 1.134113, 0.633299, 0.100000
5, 1.133997, 0.633287, 0.100000
